电影id,电影名称,出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比,女性占比
1443511,这么多年,"中国
",爱情,青春,家庭,8.9,0.218 ,0.782 
1443556,夏来冬往,"中国
",剧情,,,,0.388 ,0.612 
1443887,,,,,,,,
1443924,奥本海默,"美国
",剧情,传记,历史,9.3,0.569 ,0.431 
1445662,堡垒,"中国
",悬疑,,,,0.359 ,0.641 
1446134,开山人,"中国
",剧情,动作,现实,9.1,0.456 ,0.544 
1446243,贝肯熊：火星任务,"中国
",喜剧,动画,冒险,9.1,0.265 ,0.735 
1446250,巧虎奇幻舞台历险记,"中国
",动画,,,,0.159 ,0.841 
1446251,午夜怪谈,"中国
",惊悚,恐怖,,,0.390 ,0.610 
1446306,最后的，最初的,"中国
",纪录片,,,,0.267 ,0.733 
1446323,末路狂花钱,"中国
",喜剧,剧情,,9,0.330 ,0.670 
1447569,幸福核桃,"中国
",剧情,,,,0.306 ,0.694 
1447584,邻里邻医,"中国
",家庭,剧情,,,0.358 ,0.642 
1448001,疯狂大营救,"法国
",动画,冒险,,,0.201 ,0.799 
1448767,灿烂的她,"中国
",剧情,家庭,,9.1,0.249 ,0.751 
1448795,最遗憾是错过你,"中国
",剧情,爱情,,,0.376 ,0.624 
1448919,坠落的审判,"法国
",剧情,家庭,,9,0.250 ,0.750 
1449034,生死赛车,"中国
",剧情,动作,爱情,,0.366 ,0.634 
1449786,速度与爱情,"泰国
",爱情,剧情,,,0.378 ,0.622 
1450443,月光武士,"中国
",剧情,,,,0.304 ,0.696 
1451323,人生路不熟,"中国
",喜剧,剧情,,9.2,0.279 ,0.721 
1451342,燃冬,"中国
",剧情,爱情,,,0.281 ,0.719 
1451356,傍晚向日葵,"中国
",爱情,,,,0.370 ,0.630 
1451499,被我弄丢的你,"中国
",爱情,剧情,,8.6,0.270 ,0.730 
1451508,超级飞侠：乐迪加速,"中国
",动画,冒险,喜剧,8.7,0.222 ,0.778 
1451694,再见，李可乐,"中国
",剧情,家庭,,9.2,0.228 ,0.772 
1452790,消失的她,"中国
",悬疑,犯罪,剧情,9.2,0.245 ,0.755 
1455531,迷你特工队之汉堡大作战,"中国
",动画,,,8.3,0.190 ,0.810 
1455536,多彩田园,"中国
",剧情,,,,0.351 ,0.649 
1455594,洋子的困惑,"中国
",剧情,家庭,,,0.348 ,0.652 
1455642,宇宙护卫队：风暴力量,"中国
",动画,冒险,,8.9,0.231 ,0.769 
1455646,萤火虫的天空,"中国
",剧情,儿童,家庭,,0.263 ,0.737 
1455715,我们的岁月,"中国
",剧情,,,,0.420 ,0.580 
1456735,火山挚恋,"美国
",纪录片,传记,,9.4,0.298 ,0.702 
1457129,北京2022,"中国
",运动,剧情,纪录片,,0.249 ,0.751 
1457130,一路幸福,"中国
",纪录片,,,,0.434 ,0.566 
1457152,乌蒙奇缘,"中国
",喜剧,奇幻,古装,,0.355 ,0.645 
1457153,黄鹤楼之盐道迷局,"中国
",古装,悬疑,,,0.435 ,0.565 
1457165,穿越烽火,"中国
",纪录片,,,,0.356 ,0.644 
